Orch,Comp,Weight,Comp.Gen
Austin Symphony Orchestra,"Gould, Morton",1,1
Austin Symphony Orchestra,"Grieg, Edvard",1,1
Austin Symphony Orchestra,"Grofé, Ferde",1,1
Austin Symphony Orchestra,"Holst, Gustav",2,1
Austin Symphony Orchestra,"Lalo, Édouard",1,1
Austin Symphony Orchestra,"Mozart, Wolfgang Amadeus",1,1
Austin Symphony Orchestra,"Piazzolla, Astor",2,3
Austin Symphony Orchestra,"Ravel, Maurice",1,1
Austin Symphony Orchestra,"Sibelius, Jean",1,1
Austin Symphony Orchestra,"Still, William Grant",1,3
Austin Symphony Orchestra,"Strauss, Johann",1,1
Austin Symphony Orchestra,"Strauss, Richard",1,1
Austin Symphony Orchestra,"Stravinsky, Igor",2,1
Austin Symphony Orchestra,"Suk, Josef",1,1
Austin Symphony Orchestra,"Tchaikovsky, Peter Ilich",1,1
Austin Symphony Orchestra,"Walker, George",1,3
Bakersfield Symphony,"Beethoven, Ludwig van",1,1
Bakersfield Symphony,"Bruch, Max",1,1
Bakersfield Symphony,"Copland, Aaron",1,1
Bakersfield Symphony,"Corigliano, John",1,1
Bakersfield Symphony,"Dooley, Paul",1,1
Bakersfield Symphony,"Dvořák, Antonín",2,1
Bakersfield Symphony,"Mahler, Gustav",1,1
Bakersfield Symphony,"Mozart, Wolfgang Amadeus",7,1
Bakersfield Symphony,"Navarro, Oscar",1,1
Bakersfield Symphony,"Navarro, Óscar",1,1
Bakersfield Symphony,"Piazzolla, Astor",1,3
Bakersfield Symphony,"Price, Florence",1,4
Bakersfield Symphony,"Prokofiev, Sergey",1,1
Bakersfield Symphony,"Purcell, Henry",1,1
Bakersfield Symphony,"Still, William Grant",1,3
Bakersfield Symphony,"Tchaikovsky, Peter Ilich",2,1
Bakersfield Symphony,"Walker, George",1,3
Baltimore Symphony Orchestra,"Adams, John",1,1
Baltimore Symphony Orchestra,"Bacewicz, Grazyna",1,2
Baltimore Symphony Orchestra,"Bartók, Béla",1,1
Baltimore Symphony Orchestra,"Beethoven, Ludwig van",5,1
Baltimore Symphony Orchestra,"Brahms, Johannes",1,1
Baltimore Symphony Orchestra,"Braunfels, Walter",1,1
Baltimore Symphony Orchestra,"Bruch, Max",1,1
Baltimore Symphony Orchestra,"Castelló, Angélica",1,4
Baltimore Symphony Orchestra,"Clyne, Anna",2,2
Baltimore Symphony Orchestra,"Coleman, Valerie",1,4
Baltimore Symphony Orchestra,"Dawson, William Levi",1,3
Baltimore Symphony Orchestra,"Debussy, Claude",2,1
Baltimore Symphony Orchestra,"Delius, Frederick",1,1
Baltimore Symphony Orchestra,"Zemlinsky, Alexander",1,1
Baton Rouge Symphony,"Beethoven, Ludwig van",1,1
Baton Rouge Symphony,"Brahms, Johannes",1,1
Baton Rouge Symphony,"Dvořák, Antonín",1,1
Baton Rouge Symphony,"Gottschalk, Louis Moreau",1,1
Baton Rouge Symphony,"Rossini, Gioachino",1,1
Baton Rouge Symphony,"Saint-Saëns, Camille",1,1
Baton Rouge Symphony,"Sibelius, Jean",1,1
Baton Rouge Symphony,"Stravinsky, Igor",1,1
Baton Rouge Symphony,"Tchaikovsky, Peter Ilich",2,1
